,BALANCE_EXCESS,BALANCE_TENURE,CITY,COMPLETED_TENURE,CURRENT_INTEREST_RATE,FORECLOSURE,clusters_hierarchical
0,0.0,16.0,146.0,45.0,13.421934,0.0,2
1,0.0,99.0,146.0,38.0,13.734072,0.0,2
2,0.0,231.0,146.0,53.5,15.6069,0.0,3
3,0.0,16.0,224.0,53.5,11.236968,0.0,2
4,0.0,215.0,146.0,53.5,14.982624,0.0,2
5,0.0,137.0,224.0,53.5,12.4230924,0.0,2
6,0.0,294.0,146.0,53.5,16.1687484,0.0,3
7,0.0,276.0,146.0,52.0,13.421934,0.0,3
8,0.0,145.0,224.0,53.5,12.797658,0.0,2
9,143.55588,291.0,224.0,53.5,14.2334928,0.0,1
10,1.656414,16.0,146.0,49.0,15.6069,0.0,2
11,0.0,16.0,146.0,53.5,12.3606648,0.0,2
12,0.0,16.0,146.0,53.5,12.797658,0.0,2
13,0.4417104000000001,247.0,224.0,53.5,13.734072,0.0,3
14,0.79507872,128.0,161.0,53.5,13.0473684,0.0,2
15,143.55588,113.0,146.0,53.5,12.0485268,0.0,1
16,0.02208552,111.0,146.0,53.5,14.982624,0.0,2
17,0.4417104000000001,152.0,161.0,53.5,12.7352304,0.0,2
18,0.0,118.0,146.0,53.5,19.040418,0.0,2
19,0.0,149.0,146.0,45.0,16.543314,0.0,2
20,0.0,295.0,146.0,53.5,14.04621,0.0,3
21,0.0,303.0,146.0,53.5,16.231176,0.0,3
22,0.0,274.0,146.0,41.0,16.543314,0.0,3
23,0.0,116.0,146.0,53.5,15.294762,0.0,2
24,0.02208552,284.0,146.0,53.5,16.1687484,0.0,3
25,0.0,53.0,146.0,53.5,13.734072,0.0,2
26,0.0,132.0,146.0,35.0,18.416142,0.0,2
27,0.0,134.0,224.0,53.5,13.5467892,0.0,2
28,0.0,227.0,146.0,46.0,14.5456308,0.0,3
29,0.0,16.0,146.0,41.0,17.6045832,0.0,2
30,1.7668416,271.0,146.0,53.5,15.294762,0.0,3
31,0.0,152.0,146.0,53.5,13.2346512,0.0,2
32,143.55588,126.0,146.0,53.5,12.2982372,0.0,1
33,0.0,99.0,224.0,53.5,19.040418,0.0,2
34,0.0,303.0,146.0,53.5,15.294762,0.0,3
35,0.0,80.0,146.0,53.5,14.9201964,0.0,2
36,0.0,204.0,146.0,53.5,13.421934,0.0,2
37,0.0,117.0,146.0,53.5,12.48552,0.0,2
38,143.55588,193.0,146.0,53.5,11.7988164,0.0,1
39,0.0,91.0,146.0,53.5,14.982624,0.0,2
40,0.0,16.0,146.0,32.0,18.416142,0.0,2
41,0.0,299.0,146.0,53.5,16.1687484,0.0,3
42,0.0,20.0,146.0,43.0,14.358348,0.0,2
43,0.35336832,16.0,146.0,53.5,13.109796,0.0,2
44,0.0,291.0,146.0,33.0,13.734072,0.0,3
45,0.4417104000000001,228.0,146.0,53.5,13.734072,0.0,2
46,0.0,243.0,146.0,53.5,14.04621,0.0,3
47,0.0,38.0,146.0,53.5,13.6092168,0.0,2
48,0.0,281.0,146.0,33.0,16.855452,0.0,3
49,0.0,147.0,146.0,53.5,12.6728028,0.0,2
50,0.0,29.0,146.0,31.0,17.791866,0.0,2
51,0.0,239.0,146.0,50.0,18.104004,0.0,3
52,0.0,100.0,224.0,53.5,13.9837824,0.0,2
53,0.0,179.0,146.0,53.5,12.4230924,0.0,2
54,0.0,16.0,161.0,53.5,14.8577688,0.0,2
55,0.0,165.0,146.0,53.5,12.0485268,0.0,2
56,0.0,121.0,146.0,33.0,14.982624,0.0,2
57,0.0,16.0,146.0,47.0,17.791866,0.0,2
58,0.0,40.0,146.0,39.0,18.104004,0.0,2
59,0.0,40.0,146.0,39.0,18.104004,0.0,2
60,0.0,133.0,146.0,53.5,12.4230924,0.0,2
61,0.0,62.0,146.0,53.5,19.5398388,0.0,2
62,0.0,29.0,146.0,53.5,17.16759,0.0,2
63,143.55588,121.0,53.0,53.5,16.4184588,0.0,1
64,0.4417104000000001,156.0,146.0,53.5,14.9201964,0.0,2
65,0.0,43.0,146.0,40.0,15.294762,0.0,2
66,0.0,159.0,146.0,53.5,14.670486,0.0,2
67,0.0,156.0,146.0,53.5,18.104004,0.0,2
68,0.0,328.0,146.0,31.0,15.294762,0.0,3
69,0.4417104000000001,222.0,146.0,53.5,14.670486,0.0,2
70,0.8834208000000001,236.0,20.0,51.0,15.294762,0.0,3
71,0.0,16.0,146.0,34.0,13.421934,0.0,2
72,0.0,22.0,146.0,53.5,18.104004,0.0,2
73,1.3251312,245.0,20.0,50.0,19.040418,0.0,2
74,0.0,56.0,146.0,53.5,16.231176,0.0,2
75,0.4417104000000001,119.0,146.0,51.0,16.6681692,0.0,2
76,0.0,160.0,146.0,29.0,13.421934,0.0,3
77,0.0,214.0,6.0,29.0,16.855452,0.0,3
78,0.4417104000000001,215.0,146.0,53.5,14.358348,0.0,2
79,0.4417104000000001,218.0,146.0,45.0,14.982624,0.0,3
80,0.0,41.0,161.0,53.5,13.2346512,0.0,2
81,0.0,49.0,146.0,53.5,18.6034248,0.0,2
82,0.0,138.0,146.0,53.5,13.9837824,0.0,2
83,0.0,16.0,224.0,53.5,13.734072,0.0,2
84,0.0,53.0,146.0,53.5,14.982624,0.0,2
85,0.0,99.0,53.0,53.5,14.2334928,0.0,2
86,0.0,118.0,224.0,53.5,13.109796,0.0,2
87,0.0,173.0,146.0,27.0,14.04621,0.0,3
88,0.0,166.0,146.0,53.5,12.3606648,0.0,2
89,0.0,225.0,74.0,53.5,14.670486,0.0,3
90,0.0,200.0,187.0,30.0,13.421934,0.0,3
91,0.0,16.0,146.0,53.5,11.4866784,0.0,2
92,0.0,177.0,146.0,45.0,14.670486,0.0,2
93,0.0,191.0,146.0,31.0,14.670486,0.0,3
94,0.0,178.0,146.0,44.0,14.670486,0.0,2
95,0.0,112.0,146.0,53.5,14.2334928,0.0,2
96,0.0,99.0,146.0,36.0,13.421934,0.0,2
97,1.104276,195.0,74.0,28.0,14.982624,0.0,3
98,0.0,269.0,146.0,29.0,14.982624,0.0,3
99,0.0,208.0,80.0,53.5,18.9155628,0.0,2
100,0.0,17.0,224.0,44.0,16.855452,0.0,2
101,0.0,270.0,20.0,28.0,14.982624,0.0,3
102,0.0,171.0,146.0,32.0,14.358348,0.0,3
103,0.0,217.0,146.0,30.0,17.16759,0.0,2
104,2.0981244,16.0,224.0,43.0,16.855452,0.0,2
105,0.0,152.0,161.0,53.5,14.670486,0.0,2
106,0.0,16.0,20.0,53.5,12.3606648,0.0,2
107,1.5459864,16.0,146.0,53.5,17.16759,0.0,2
108,0.0,103.0,146.0,29.0,14.982624,0.0,2
109,0.4417104000000001,87.0,20.0,53.5,12.2982372,0.0,2
110,0.0,236.0,146.0,27.0,14.358348,0.0,3
111,0.0,112.0,146.0,41.0,17.479728,0.0,2
112,0.0,108.0,146.0,28.0,17.16759,0.0,2
113,0.0,275.0,146.0,26.0,14.8577688,0.0,3
114,4.858814400000001,175.0,146.0,53.5,17.3548728,0.0,2
115,0.0,217.0,146.0,31.0,17.16759,0.0,2
116,0.0,140.0,187.0,53.5,12.1109544,0.0,2
117,1.104276,275.0,187.0,28.0,15.6069,0.0,3
118,0.0,128.0,53.0,28.0,14.358348,0.0,3
119,0.0,16.0,146.0,53.5,12.2982372,0.0,2
120,0.4417104000000001,175.0,146.0,51.0,16.543314,0.0,2
121,0.0,16.0,2.0,53.5,13.109796,0.0,2
122,0.0,251.0,146.0,46.0,14.358348,0.0,3
123,0.0,203.0,224.0,53.5,12.48552,0.0,2
124,0.0,198.0,146.0,27.0,15.294762,0.0,2
125,0.0,181.0,20.0,43.0,14.982624,0.0,3
126,0.0,157.0,146.0,36.0,14.982624,0.0,3
127,0.0,196.0,146.0,53.0,17.16759,0.0,2
128,0.4417104000000001,108.0,160.0,53.5,13.6716444,0.0,2
129,0.0,16.0,146.0,53.5,17.16759,0.0,2
130,0.0,16.0,20.0,53.5,12.797658,0.0,2
131,0.0,58.0,53.0,53.5,14.670486,0.0,2
132,0.0,101.0,2.0,26.0,14.4832032,0.0,3
133,0.0,75.0,224.0,53.5,12.1109544,0.0,2
134,143.55588,246.0,53.0,48.0,12.797658,0.0,1
135,0.0,96.0,187.0,40.0,14.5456308,0.0,2
136,0.0,152.0,146.0,41.0,14.670486,0.0,2
137,0.0,233.0,187.0,52.0,14.982624,0.0,3
138,0.4417104000000001,141.0,187.0,53.5,14.982624,0.0,2
139,0.8834208000000001,37.0,161.0,53.5,17.16759,0.0,2
140,0.0,53.0,146.0,53.5,12.3606648,0.0,2
141,0.0,96.0,161.0,53.5,12.9849408,0.0,2
142,0.4417104000000001,122.0,146.0,53.5,13.109796,0.0,2
143,0.0,16.0,146.0,35.0,15.294762,0.0,2
144,6.625656,48.0,146.0,53.5,12.4230924,0.0,2
145,0.0,122.0,146.0,53.5,15.2323344,0.0,2
146,0.0,286.0,146.0,25.0,14.670486,0.0,3
147,143.55588,85.0,146.0,53.5,13.0473684,0.0,1
148,0.0,113.0,146.0,53.5,16.4184588,0.0,2
149,1.3251312,208.0,187.0,45.0,17.479728,0.0,3
150,0.0,16.0,146.0,37.0,17.479728,0.0,2
151,0.0,218.0,146.0,28.0,16.855452,0.0,2
152,0.0,16.0,146.0,53.5,14.670486,0.0,2
153,0.0,16.0,146.0,53.5,12.48552,0.0,2
154,0.0,144.0,187.0,53.5,19.8519768,0.0,2
155,0.0,99.0,146.0,29.0,17.16759,0.0,2
156,0.0,63.0,146.0,53.5,12.797658,0.0,2
157,0.0,175.0,224.0,53.5,12.797658,0.0,2
158,0.4417104000000001,120.0,20.0,53.5,15.8566104,0.0,2
159,0.0,175.0,146.0,32.0,16.855452,0.0,2
160,0.0,284.0,146.0,27.0,14.670486,0.0,3
161,0.0,16.0,187.0,37.0,15.919038,0.0,2
162,0.0,16.0,161.0,53.5,16.543314,0.0,2
163,0.0,174.0,53.0,32.0,16.4184588,0.0,3
164,0.0,242.0,224.0,26.0,13.734072,0.0,3
165,1.104276,158.0,2.0,46.0,14.982624,0.0,3
166,2.208552,248.0,146.0,50.0,14.982624,0.0,3
167,0.0,139.0,146.0,53.5,14.982624,0.0,2
168,0.0,16.0,53.0,53.5,16.855452,0.0,2
169,143.55588,198.0,20.0,53.5,12.4230924,0.0,1
170,0.0,180.0,146.0,26.0,16.231176,0.0,2
171,0.0,57.0,161.0,53.5,14.04621,0.0,2
172,0.0,16.0,146.0,47.0,17.791866,0.0,2
173,0.0,162.0,224.0,46.0,17.16759,0.0,2
174,0.0,96.0,146.0,53.5,12.4230924,0.0,2
175,143.55588,77.0,146.0,53.5,13.9837824,0.0,1
176,143.55588,16.0,146.0,53.5,15.2323344,0.0,1
177,0.0,247.0,187.0,39.0,14.358348,0.0,3
178,1.104276,75.0,187.0,53.5,13.9213548,0.0,2
179,0.0,183.0,53.0,24.0,16.855452,0.0,3
180,0.8834208000000001,180.0,161.0,50.0,14.670486,0.0,2
181,0.0,90.0,146.0,53.5,12.6728028,0.0,2
182,0.0,72.0,187.0,53.5,18.104004,0.0,2
183,0.0,92.0,187.0,36.0,17.16759,0.0,2
184,0.0,148.0,2.0,53.5,16.855452,0.0,2
185,0.0,170.0,146.0,28.0,16.855452,0.0,2
186,0.0,208.0,146.0,53.5,14.04621,0.0,2
187,0.0,160.0,187.0,39.0,16.855452,0.0,2
188,0.0,81.0,2.0,46.0,14.982624,0.0,2
189,0.0,82.0,2.0,46.0,17.16759,0.0,2
190,0.02208552,57.0,2.0,53.5,11.861244,0.0,2
191,0.0,120.0,192.0,53.5,15.2323344,0.0,2
192,0.0,273.0,20.0,39.0,14.670486,0.0,3
193,143.55588,180.0,74.0,29.0,17.16759,0.0,1
194,143.55588,59.0,2.0,53.5,17.16759,0.0,1
195,0.0,109.0,187.0,32.0,14.670486,0.0,2
196,0.4417104000000001,287.0,187.0,26.0,14.670486,0.0,3
197,1.104276,145.0,187.0,53.5,18.9155628,0.0,2
198,0.0,182.0,187.0,27.0,17.16759,0.0,2
199,0.0,34.0,146.0,53.5,12.9849408,0.0,2
200,143.55588,211.0,146.0,53.5,17.2300176,0.0,1
201,2.208552,147.0,20.0,26.0,17.16759,0.0,3
202,0.0,76.0,53.0,53.5,18.416142,0.0,2
203,0.0,76.0,53.0,53.5,18.416142,0.0,2
204,0.0,165.0,146.0,42.0,16.855452,0.0,2
205,0.0,151.0,74.0,49.0,14.358348,0.0,2
206,1.5459864,163.0,187.0,53.5,14.04621,0.0,2
207,0.0,182.0,187.0,27.0,17.16759,0.0,2
208,0.0,307.0,166.0,26.0,14.670486,0.0,3
209,0.4417104000000001,56.0,224.0,53.5,13.6092168,0.0,2
210,0.0,285.0,53.0,27.0,14.04621,0.0,3
211,0.8834208000000001,149.0,187.0,49.0,16.855452,0.0,2
212,0.0,274.0,187.0,26.0,13.421934,0.0,3
213,0.0,135.0,187.0,53.5,12.4230924,0.0,2
214,0.8834208000000001,30.0,146.0,53.5,14.04621,0.0,2
215,0.0,108.0,146.0,26.0,13.734072,0.0,2
216,0.0,237.0,187.0,47.0,14.04621,0.0,3
217,0.0,122.0,2.0,53.5,15.2323344,0.0,2
218,0.4417104000000001,100.0,187.0,35.0,13.421934,0.0,2
219,0.0,166.0,146.0,25.0,14.04621,0.0,3
220,0.0,16.0,146.0,53.5,13.9837824,0.0,2
221,143.55588,82.0,146.0,53.5,14.9201964,0.0,1
222,0.0,124.0,146.0,53.5,12.797658,0.0,2
223,0.0,261.0,146.0,23.0,14.358348,0.0,3
224,0.0,90.0,146.0,29.0,14.358348,0.0,2
225,0.0,128.0,146.0,53.5,11.236968,0.0,2
226,0.0,130.0,146.0,53.5,18.9155628,0.0,2
227,1.52390088,124.0,146.0,38.0,14.982624,0.0,2
228,0.0,104.0,146.0,24.0,17.16759,0.0,2
229,2.4294072,147.0,187.0,33.0,19.352556,0.0,2
230,0.0,168.0,146.0,31.0,17.16759,0.0,2
231,0.4417104000000001,264.0,146.0,23.0,14.982624,0.0,3
232,0.4417104000000001,110.0,146.0,53.5,13.734072,0.0,2
233,0.0,167.0,146.0,31.0,16.855452,0.0,2
234,3.0919728,155.0,146.0,43.0,16.543314,0.0,2
235,0.0,42.0,146.0,42.0,17.16759,0.0,2
236,143.55588,98.0,146.0,53.5,13.0473684,0.0,1
237,0.0,255.0,224.0,29.0,14.358348,0.0,3
238,0.0,130.0,187.0,22.0,14.358348,0.0,2
239,0.0,145.0,187.0,53.5,14.9201964,0.0,2
240,0.0,145.0,20.0,53.5,18.9155628,0.0,2
241,0.0,136.0,224.0,53.5,12.4230924,0.0,2
242,0.0,92.0,2.0,53.5,13.2970788,0.0,2
243,0.0,42.0,187.0,53.5,17.3548728,0.0,2
244,0.4417104000000001,81.0,20.0,53.5,12.1109544,0.0,2
245,0.0,276.0,224.0,24.0,14.04621,0.0,3
246,0.0,333.0,2.0,25.0,14.982624,0.0,3
247,0.4417104000000001,54.0,53.0,33.0,16.543314,0.0,2
248,143.55588,195.0,2.0,25.0,17.479728,0.0,1
249,0.0,62.0,187.0,25.0,17.16759,0.0,2
250,2.6502624,144.0,187.0,53.5,17.0427348,0.0,2
251,0.0,150.0,187.0,50.0,14.358348,0.0,2
252,143.55588,90.0,2.0,53.5,12.173382,0.0,1
253,143.55588,89.0,2.0,53.5,13.734072,0.0,1
254,0.4417104000000001,175.0,187.0,40.0,14.04621,0.0,2
255,0.0,177.0,2.0,32.0,17.16759,0.0,3
256,0.4417104000000001,152.0,187.0,53.5,14.04621,0.0,2
257,0.0,145.0,20.0,53.5,18.9155628,0.0,2
258,0.0,269.0,224.0,20.0,14.982624,0.0,3
259,0.0,252.0,224.0,32.0,14.358348,0.0,3
260,143.55588,131.0,146.0,53.5,14.358348,0.0,1
261,0.0,16.0,224.0,53.5,16.855452,0.0,2
262,0.0,145.0,53.0,47.0,12.797658,0.0,2
263,0.0,258.0,146.0,26.0,14.358348,0.0,3
264,0.0,117.0,20.0,22.0,14.358348,0.0,3
265,0.0,75.0,146.0,53.5,13.734072,0.0,2
