,BALANCE_EXCESS,BALANCE_TENURE,CITY,COMPLETED_TENURE,CURRENT_INTEREST_RATE,FORECLOSURE,sil_width,Clus_kmeans
0,0.0,16.0,146.0,45.0,13.421934,0.0,0.33346279811973395,2
1,0.0,99.0,146.0,38.0,13.734072,0.0,0.2622880423549138,2
2,0.0,231.0,146.0,53.5,15.6069,0.0,0.14740438943775977,2
3,0.0,16.0,224.0,53.5,11.236968,0.0,0.22524974858517396,2
4,0.0,215.0,146.0,53.5,14.982624,0.0,0.16902043232226993,2
5,0.0,137.0,224.0,53.5,12.4230924,0.0,0.16351392812071652,2
6,0.0,294.0,146.0,53.5,16.1687484,0.0,0.02101417249592509,2
7,0.0,276.0,146.0,52.0,13.421934,0.0,-0.045037652555897326,2
8,0.0,145.0,224.0,53.5,12.797658,0.0,0.165562876406528,2
9,143.55588,291.0,224.0,53.5,14.2334928,0.0,0.08327269888825214,1
10,1.656414,16.0,146.0,49.0,15.6069,0.0,0.40425813934251964,2
11,0.0,16.0,146.0,53.5,12.3606648,0.0,0.3149459478757064,2
12,0.0,16.0,146.0,53.5,12.797658,0.0,0.33087779702231834,2
13,0.4417104000000001,247.0,224.0,53.5,13.734072,0.0,-0.02605681326860736,2
14,0.79507872,128.0,161.0,53.5,13.0473684,0.0,0.2742716318299483,2
15,143.55588,113.0,146.0,53.5,12.0485268,0.0,0.06287139681726844,2
16,0.02208552,111.0,146.0,53.5,14.982624,0.0,0.3890980820746311,2
17,0.4417104000000001,152.0,161.0,53.5,12.7352304,0.0,0.21383935362754727,2
18,0.0,118.0,146.0,53.5,19.040418,0.0,0.4144717690301043,2
19,0.0,149.0,146.0,45.0,16.543314,0.0,0.34814068097801193,2
20,0.0,295.0,146.0,53.5,14.04621,0.0,-0.04179208184136308,2
21,0.0,303.0,146.0,53.5,16.231176,0.0,0.0067823512482291315,2
22,0.0,274.0,146.0,41.0,16.543314,0.0,-0.06454413402071198,2
23,0.0,116.0,146.0,53.5,15.294762,0.0,0.39328631347493753,2
24,0.02208552,284.0,146.0,53.5,16.1687484,0.0,0.04015303014978218,2
25,0.0,53.0,146.0,53.5,13.734072,0.0,0.37120837129411854,2
26,0.0,132.0,146.0,35.0,18.416142,0.0,0.33423247234774844,2
27,0.0,134.0,224.0,53.5,13.5467892,0.0,0.22014509370735436,2
28,0.0,227.0,146.0,46.0,14.5456308,0.0,0.037695822232338576,2
29,0.0,16.0,146.0,41.0,17.6045832,0.0,0.4057603537075055,2
30,1.7668416,271.0,146.0,53.5,15.294762,0.0,0.04157549283338113,2
31,0.0,152.0,146.0,53.5,13.2346512,0.0,0.2504623922805919,2
32,143.55588,126.0,146.0,53.5,12.2982372,0.0,0.050812852726355676,2
33,0.0,99.0,224.0,53.5,19.040418,0.0,0.3654508320328562,2
34,0.0,303.0,146.0,53.5,15.294762,0.0,-0.019289169082687827,2
35,0.0,80.0,146.0,53.5,14.9201964,0.0,0.4072722525907575,2
36,0.0,204.0,146.0,53.5,13.421934,0.0,0.13513801460854352,2
37,0.0,117.0,146.0,53.5,12.48552,0.0,0.27258373691167,2
38,143.55588,193.0,146.0,53.5,11.7988164,0.0,0.049822179113323796,1
39,0.0,91.0,146.0,53.5,14.982624,0.0,0.40450499274274276,2
40,0.0,16.0,146.0,32.0,18.416142,0.0,0.3643774307824447,2
41,0.0,299.0,146.0,53.5,16.1687484,0.0,0.01201117890951084,2
42,0.0,20.0,146.0,43.0,14.358348,0.0,0.36078445009594423,2
43,0.35336832,16.0,146.0,53.5,13.109796,0.0,0.3418809384124904,2
44,0.0,291.0,146.0,33.0,13.734072,0.0,0.10082960085437054,0
45,0.4417104000000001,228.0,146.0,53.5,13.734072,0.0,0.08711757060898791,2
46,0.0,243.0,146.0,53.5,14.04621,0.0,0.06202372450510839,2
47,0.0,38.0,146.0,53.5,13.6092168,0.0,0.3651468130845228,2
48,0.0,281.0,146.0,33.0,16.855452,0.0,0.07047768292380546,0
49,0.0,147.0,146.0,53.5,12.6728028,0.0,0.23224803264928875,2
50,0.0,29.0,146.0,31.0,17.791866,0.0,0.3655435178837421,2
51,0.0,239.0,146.0,50.0,18.104004,0.0,0.16426683109960094,2
52,0.0,100.0,224.0,53.5,13.9837824,0.0,0.28690606544181946,2
53,0.0,179.0,146.0,53.5,12.4230924,0.0,0.1504029053399031,2
54,0.0,16.0,161.0,53.5,14.8577688,0.0,0.38514942946390585,2
55,0.0,165.0,146.0,53.5,12.0485268,0.0,0.1633675031817715,2
56,0.0,121.0,146.0,33.0,14.982624,0.0,0.22192660699398345,2
57,0.0,16.0,146.0,47.0,17.791866,0.0,0.41806463512438774,2
58,0.0,40.0,146.0,39.0,18.104004,0.0,0.4143225166074907,2
59,0.0,40.0,146.0,39.0,18.104004,0.0,0.4143225166074907,2
60,0.0,133.0,146.0,53.5,12.4230924,0.0,0.24480259088418313,2
61,0.0,62.0,146.0,53.5,19.5398388,0.0,0.42417367091091446,2
62,0.0,29.0,146.0,53.5,17.16759,0.0,0.4290714421995284,2
63,143.55588,121.0,53.0,53.5,16.4184588,0.0,0.1331654307879145,2
64,0.4417104000000001,156.0,146.0,53.5,14.9201964,0.0,0.3156566063441269,2
65,0.0,43.0,146.0,40.0,15.294762,0.0,0.3854145088820893,2
66,0.0,159.0,146.0,53.5,14.670486,0.0,0.29954748223035205,2
67,0.0,156.0,146.0,53.5,18.104004,0.0,0.37157064953320357,2
68,0.0,328.0,146.0,31.0,15.294762,0.0,0.08123566344025661,0
69,0.4417104000000001,222.0,146.0,53.5,14.670486,0.0,0.13909174112560177,2
70,0.8834208000000001,236.0,20.0,51.0,15.294762,0.0,-0.010180067949135079,2
71,0.0,16.0,146.0,34.0,13.421934,0.0,0.2733869009276576,2
72,0.0,22.0,146.0,53.5,18.104004,0.0,0.42310705792529407,2
73,1.3251312,245.0,20.0,50.0,19.040418,0.0,0.06751992411699678,2
74,0.0,56.0,146.0,53.5,16.231176,0.0,0.4356213381385314,2
75,0.4417104000000001,119.0,146.0,51.0,16.6681692,0.0,0.418392184311692,2
76,0.0,160.0,146.0,29.0,13.421934,0.0,0.10300497558584022,0
77,0.0,214.0,6.0,29.0,16.855452,0.0,0.2553146050718474,3
78,0.4417104000000001,215.0,146.0,53.5,14.358348,0.0,0.14569281685045832,2
79,0.4417104000000001,218.0,146.0,45.0,14.982624,0.0,0.07331367752412014,2
80,0.0,41.0,161.0,53.5,13.2346512,0.0,0.34388924633713586,2
81,0.0,49.0,146.0,53.5,18.6034248,0.0,0.4338091041270241,2
82,0.0,138.0,146.0,53.5,13.9837824,0.0,0.3126363587044508,2
83,0.0,16.0,224.0,53.5,13.734072,0.0,0.30823282827246157,2
84,0.0,53.0,146.0,53.5,14.982624,0.0,0.4104003556431399,2
85,0.0,99.0,53.0,53.5,14.2334928,0.0,0.29243420733427505,2
86,0.0,118.0,224.0,53.5,13.109796,0.0,0.22694823155260072,2
87,0.0,173.0,146.0,27.0,14.04621,0.0,0.11908894802431523,0
88,0.0,166.0,146.0,53.5,12.3606648,0.0,0.17679220409850505,2
89,0.0,225.0,74.0,53.5,14.670486,0.0,0.08898361167493218,2
90,0.0,200.0,187.0,30.0,13.421934,0.0,0.26724928440213264,0
91,0.0,16.0,146.0,53.5,11.4866784,0.0,0.2814944018424463,2
92,0.0,177.0,146.0,45.0,14.670486,0.0,0.19324326416202436,2
93,0.0,191.0,146.0,31.0,14.670486,0.0,-0.13405718819823734,2
94,0.0,178.0,146.0,44.0,14.670486,0.0,0.1783452022226669,2
95,0.0,112.0,146.0,53.5,14.2334928,0.0,0.3609019266977882,2
96,0.0,99.0,146.0,36.0,13.421934,0.0,0.21818768536971586,2
97,1.104276,195.0,74.0,28.0,14.982624,0.0,0.22993285189799412,3
98,0.0,269.0,146.0,29.0,14.982624,0.0,0.1104657245284878,0
99,0.0,208.0,80.0,53.5,18.9155628,0.0,0.22482809956225105,2
100,0.0,17.0,224.0,44.0,16.855452,0.0,0.35284999222031505,2
101,0.0,270.0,20.0,28.0,14.982624,0.0,0.2659646555396151,3
102,0.0,171.0,146.0,32.0,14.358348,0.0,-0.04968182519836117,2
103,0.0,217.0,146.0,30.0,17.16759,0.0,-0.06751909958148183,2
104,2.0981244,16.0,224.0,43.0,16.855452,0.0,0.35006496247488617,2
105,0.0,152.0,161.0,53.5,14.670486,0.0,0.3026973955082248,2
106,0.0,16.0,20.0,53.5,12.3606648,0.0,0.22493813766818785,2
107,1.5459864,16.0,146.0,53.5,17.16759,0.0,0.4204021831244881,2
108,0.0,103.0,146.0,29.0,14.982624,0.0,0.20253034373622866,2
109,0.4417104000000001,87.0,20.0,53.5,12.2982372,0.0,0.18296610483399048,2
110,0.0,236.0,146.0,27.0,14.358348,0.0,0.13618996863911628,0
111,0.0,112.0,146.0,41.0,17.479728,0.0,0.40650635088939996,2
112,0.0,108.0,146.0,28.0,17.16759,0.0,0.2800466049865954,2
113,0.0,275.0,146.0,26.0,14.8577688,0.0,0.1206298930342181,0
114,4.858814400000001,175.0,146.0,53.5,17.3548728,0.0,0.3322022858266666,2
115,0.0,217.0,146.0,31.0,17.16759,0.0,-0.04781466643532304,2
116,0.0,140.0,187.0,53.5,12.1109544,0.0,0.18185457455968618,2
117,1.104276,275.0,187.0,28.0,15.6069,0.0,0.21423528413011922,0
118,0.0,128.0,53.0,28.0,14.358348,0.0,-0.12420298360848378,2
119,0.0,16.0,146.0,53.5,12.2982372,0.0,0.31261359940417666,2
120,0.4417104000000001,175.0,146.0,51.0,16.543314,0.0,0.31080297957671066,2
121,0.0,16.0,2.0,53.5,13.109796,0.0,0.22864201354172606,2
122,0.0,251.0,146.0,46.0,14.358348,0.0,-0.036664989388167014,2
123,0.0,203.0,224.0,53.5,12.48552,0.0,0.023466658719815226,2
124,0.0,198.0,146.0,27.0,15.294762,0.0,0.11518132526577234,0
